raw_text,file_id,audio_id,video_id
"РУССКИЙ НАЦИОНАЛЬНЫЙ ХАКИНГ  Павел Жовнер в гостях у Михаила Светова 
#Михаил_Светов",BAADAgADJAsAAi3JCEjxIck46qdXDAI,,5190619765655210788
РУССКИЙ НАЦИОНАЛЬНЫЙ ХАКИНГ  Павел Жовнер в гостях у Михаила Светова,,,
,,,
,CQADAgADWA0AAi3JAAFI0E_pYGva86EC,5188367965841526104,
"СНАЧАЛА БЫЛО СЛОВО  Микитко сын Алексеев 
#Михаил_Светов",BAADAgADVw0AAi3JAAFItVVeHFyNPf0C,,5188367965841526103
СНАЧАЛА БЫЛО СЛОВО  Микитко сын Алексеев,,,
,CQADAgADKQ0AAi3JAAFIqNjsqt8BNjEC,5188367965841526057,
"РОСКОМНАДЗОР ЗАБЛОКИРУЕТ ВСЁ  Владислав Здольников в гостях у Михаила Светова 
#Михаил_Светов",BAADAgADKA0AAi3JAAFICB32o0ud6mgC,,5188367965841526056
РОСКОМНАДЗОР ЗАБЛОКИРУЕТ ВСЁ  Владислав Здольников в гостях у Михаила Светова,,,
,CQADAgADJwwAAgNXAUhBI1w2Udy70QI,5188523916104043559,
"ДОМАШНЕЕ ОБРАЗОВАНИЕ  Джастас Уолкер и Михаил Светов 
#Михаил_Светов",BAADAgADJgwAAgNXAUhYAoLgcY-K4QI,,5188523916104043558
ДОМАШНЕЕ ОБРАЗОВАНИЕ  Джастас Уолкер и Михаил Светов,,,
,CQADAgADnwsAAgNXAUjrELmKoDrnUAI,5188523916104043423,
"РУССКИЕ СЕЗОНЫ с Микиткой сыном Алексеевым и Павлом Гнилорыбовым 
#Михаил_Светов",BAADAgADngsAAgNXAUjJ6SyrSMJ36gI,,5188523916104043422
РУССКИЕ СЕЗОНЫ с Микиткой сыном Алексеевым и Павлом Гнилорыбовым,,,
,CQADAgADnQsAAgNXAUg_ezqn6IKc-AI,5188523916104043421,
"ПРЕДЕЛ НАУКИ И БЕСПРЕДЕЛ ЯЗЫКА Брагилевский в гостях у Светова 
#Михаил_Светов",BAADAgADnAsAAgNXAUhX-DxP93pC7QI,,5188523916104043420
ПРЕДЕЛ НАУКИ И БЕСПРЕДЕЛ ЯЗЫКА Брагилевский в гостях у Светова,,,
,CQADAgADmwsAAgNXAUhQiXjzlKJhFwI,5188523916104043419,
"МЕЖДУ МАТЕМАТИКОЙ И БОГОМ  Алексей Савватеев в гостях у Михаила Светова 
#Михаил_Светов
#Алексей_Савватеев",BAADAgADmgsAAgNXAUg0Cj8KexKfSgI,,5188523916104043418
МЕЖДУ МАТЕМАТИКОЙ И БОГОМ  Алексей Савватеев в гостях у Михаила Светова,,,
"#Михаил_Светов - блогер, председатель общественно-политического движения «Гражданское общество», один из основных популяризаторов либертарианства в России, организатор ряда федеральных митингoв на различные общественные темы. Приглашает на свои стримы различных персонажей и ведёт с ними местами небезынтересные беседы.",,,
,CQADAgADcgsAAgNXAUiSFQdVY1eDcgI,5188523916104043378,
"Зачем за нами следят в соцсетях и кто продает наши данные Большое интервью про Big Data 
#Артур_Хачуян",BAADAgADcQsAAgNXAUjGiIdzvduTBAI,,5188523916104043377
Зачем за нами следят в соцсетях и кто продает наши данные Большое интервью про Big Data,,,
,CQADAgADUAsAAgNXAUiSsqKTL8sNJgI,5188523916104043344,
"Как большие данные меняют мир. Слежка в соцсетях и BigData.
#Артур_Хачуян",BAADAgADTwsAAgNXAUg7ZE6SoPXJZQI,,5188523916104043343
Как большие данные меняют мир. Слежка в соцсетях и BigData.,,,
,CQADAgAD7gwAAgNX-Uvgu49LbdkdBQI,5474502492442070254,
"Артур Хачуян — Наше хранилище для веб-аналитики 
#Артур_Хачуян",BAADAgAD7QwAAgNX-UsSNXEv5M2Z8QI,,5474502492442070253
Артур Хачуян — Наше хранилище для веб-аналитики,,,
,CQADAgAD1QwAAgNX-Uu_pgKbgpTv-AI,5474502492442070229,
"IT и политика  SEGOZAVTRA (Артур Хачуян, Гавр Гордеев, Гарик Оганисян, Сева Ловкачев) 
#Артур_Хачуян",BAADAgAD1AwAAgNX-UtHlKWqK1g0BwI,,5474502492442070228
"IT и политика  SEGOZAVTRA (Артур Хачуян, Гавр Гордеев, Гарик Оганисян, Сева Ловкачев)",,,
,CQADAgADcwwAAgNX-UtB2fFYgMXeQwI,5474502492442070131,
"ТЕМНАЯ СТОРОНА. Подкаст #1. Артур Хачуян. БИГ ДАТА Слив Данных  Генетическое редактирование детей 
#Артур_Хачуян",BAADAgADcgwAAgNX-UvVNF6OLe6jHAI,,5474502492442070130
ТЕМНАЯ СТОРОНА. Подкаст #1. Артур Хачуян. БИГ ДАТА Слив Данных  Генетическое редактирование детей,,,
,CQADAgADXgwAAgNX-UswPyg2moC2qgI,5474502492442070110,
"Можно ли определить террориста по его цифровому следу  Артур Хачуян  Лекториум 
#Артур_Хачуян",BAADAgADXQwAAgNX-UtEL0FQYvIsjQI,,5474502492442070109
Можно ли определить террориста по его цифровому следу  Артур Хачуян  Лекториум,,,
,CQADAgADSQwAAgNX-UsFSGUpvspigwI,5474502492442070089,
"Что происходит с вашими данными в сети. Артур Хачуян 
#Артур_Хачуян",BAADAgADSAwAAgNX-Ut1OrJLqQejQgI,,5474502492442070088
Что происходит с вашими данными в сети. Артур Хачуян,,,
,CQADAgADJAwAAgNX-UtV53YnkDFSmQI,5474502492442070052,
